DATE CREATED
2020-04-01T18:52:59+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
"Omega Interchangeable Thermistors - ON-950-440005, 3000 Ohm @ 25 deg C #DVY1"

UOM DEFINITIONS
Degrees Celsius

STATION
Davies Reef
LATITUDE
-18.83162
LONGITUDE
147.6345

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL1_summer_13_14,wtemp_LEVEL1_summer_14_15,wtemp_LEVEL1_summer_15_16,wtemp_LEVEL1_summer_16_17,wtemp_LEVEL1_summer_17_18,wtemp_LEVEL1_summer_18_19,wtemp_LEVEL1_summer_19_20
16-FEB,13,28.631046474358975,28.1725,28.0268,29.1571,29.3117,28.7611,28.6942,30.5874
17-FEB,13,28.57408173076923,28.2128,27.9951,29.3253,29.2772,28.698,28.6103,30.4715
18-FEB,13,28.53023717948718,28.1267,28.0242,29.5268,29.2968,28.855,28.6327,30.4135
19-FEB,14,28.466319508448542,28.1408,28.0792,29.7126,29.5055,29.0573,28.7415,30.4142
20-FEB,14,28.475723214285715,28.2545,28.3216,29.7835,29.5874,29.1097,28.8645,30.4591
21-FEB,14,28.474669642857144,28.5185,28.4786,29.7539,29.5055,29.0199,29.1187,30.392
22-FEB,14,28.527349702380953,28.4147,28.5257,29.4161,29.5928,28.9525,28.9974,30.2128
23-FEB,14,28.555912202380952,28.2338,28.8083,28.9794,29.5349,28.7574,28.8756,29.8165
24-FEB,14,28.54806994047619,28.1335,29.0142,28.7638,29.4176,28.4997,28.6169,29.3907
25-FEB,14,28.54833630952381,28.0484,29.1037,28.8742,29.2564,28.5476,28.2311,29.299
26-FEB,15,28.559706821480408,28.0513,29.1816,29.0882,29.055,28.7697,28.034,29.2003
27-FEB,15,28.5805375,28.1023,29.1963,29.2814,28.9951,28.846,27.9326,29.319
28-FEB,15,28.586919444444444,28.0677,29.2742,29.499,28.9802,28.7748,27.9378,29.5267
29-FEB,4,28.204765625,,,29.6467,,,,29.7085
01-MAR,15,28.51000144092219,28.0227,29.2728,29.8154,28.9934,28.6741,27.8394,29.5715
02-MAR,15,28.455574712643678,27.9617,29.3582,29.5318,29.0541,28.7206,27.7633,29.4155
03-MAR,15,28.35622777777778,27.9626,29.1877,29.1259,29.0333,28.8393,27.7016,29.4815
04-MAR,15,28.353334722222222,27.8562,28.8837,28.9132,28.957,28.8222,27.6904,29.7249
05-MAR,15,28.371390277777778,27.7752,28.8706,28.7561,29.0906,28.7914,27.7355,29.78
06-MAR,15,28.366284722222222,27.6787,29.1256,28.7649,29.2651,28.7954,27.759,29.7175
07-MAR,15,28.372184722222222,27.6906,29.272,28.9618,29.4537,28.5174,27.7705,29.618
08-MAR,15,28.36113888888889,27.5099,29.2944,29.1567,29.4519,28.2716,28.0265,29.4454
09-MAR,15,28.329258333333332,27.3722,29.3056,29.1474,29.3013,27.987,28.1097,29.4764
10-MAR,15,28.280891666666665,27.1528,29.0919,28.9838,29.0295,27.9531,28.0705,29.47
11-MAR,15,28.241936111111112,27.0607,28.6845,28.8609,29.0317,27.9127,28.1568,29.2753
12-MAR,15,28.182909722222224,26.9182,28.5005,28.9651,29.0135,27.8098,28.3744,28.5565
